feature1,feature2,feature3,target
-0.57,1.42,0.49,-9.76
-0.99,0.55,1.04,-24.03
-0.67,0.15,1.77,45.61
0.38,-0.39,-0.11,34.13
1.16,-0.02,0.14,86.66
0.45,0.82,-1.15,28.74
-1.32,0.61,0.92,-38.14
0.72,-1.14,0.55,61.53
-0.28,0.43,-0.72,-2.46
1.54,0.17,1.12,101.32
-0.83,-0.96,-0.33,-42.11
0.26,1.35,0.66,41.23
1.01,-0.55,-1.03,55.12
-1.47,0.29,0.87,-51.04
0.91,1.21,0.35,72.82
-0.18,-0.73,1.51,10.43
0.64,0.48,-0.64,53.77
-0.54,-1.26,-0.48,-31.88
1.82,0.77,1.34,125.17
-1.09,-0.45,0.73,-39.65
0.14,0.62,-1.26,18.34
0.98,-1.04,0.59,70.88
-0.71,1.12,-0.18,-15.94
1.34,-0.28,0.94,93.75
-1.56,-0.84,-1.02,-69.52
0.52,0.39,1.28,58.14
-0.23,-1.31,0.46,-12.57
1.27,0.94,-0.57,88.23
-0.95,0.08,-1.41,-34.72
0.81,-0.62,0.17,59.48
